                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.70136,                0.98767,                  1.252,                0.75195,                0.75119,                0.82886,                0.68359,                0.68113,                 1.0063,                0.97653,             0.00061605,             0.00061605,             0.00061605
                     48,                0.68226,                0.97451,                 1.2334,                0.75722,                0.80245,                0.86898,                0.72326,                0.66346,                0.94996,                 0.9289,             0.00060505,             0.00060505,             0.00060505
                     49,                0.67981,                0.97824,                 1.2293,                0.79907,                 0.7471,                0.85522,                0.71114,                0.64365,                0.98764,                0.91418,             0.00059405,             0.00059405,             0.00059405
                     50,                0.68004,                0.98591,                 1.2313,                0.82967,                0.84265,                 0.8973,                0.76049,                0.60822,                0.86195,                0.89704,             0.00058305,             0.00058305,             0.00058305
                     51,                0.67741,                0.96777,                 1.2365,                0.84701,                0.76475,                0.87145,                0.68795,                0.68375,                0.92423,                0.97618,             0.00057205,             0.00057205,             0.00057205
                     52,                0.66689,                0.93531,                 1.2071,                0.91301,                0.78437,                0.90927,                0.74882,                 0.7133,                0.91226,                0.94329,             0.00056105,             0.00056105,             0.00056105
                     53,                0.65938,                0.94255,                 1.2108,                0.86998,                0.86311,                0.93542,                0.78217,                0.62785,                0.69446,                0.86912,             0.00055006,             0.00055006,             0.00055006
                     54,                0.66763,                0.93121,                 1.2215,                0.84287,                0.79545,                0.88979,                 0.7394,                0.63772,                0.89158,                 0.8927,             0.00053906,             0.00053906,             0.00053906
                     55,                0.67612,                0.92346,                 1.2314,                 0.8398,                0.78696,                0.91114,                0.75278,                0.71287,                0.84233,                0.93277,             0.00052806,             0.00052806,             0.00052806
                     56,                0.67299,                0.91825,                 1.2248,                0.81488,                0.85112,                0.93161,                0.79082,                 0.6613,                0.76394,                0.91384,             0.00051706,             0.00051706,             0.00051706
                     57,                0.65444,                0.91262,                 1.2033,                0.85579,                 0.8233,                0.92079,                 0.7676,                0.63955,                0.78352,                0.88057,             0.00050606,             0.00050606,             0.00050606
                     58,                0.61499,                0.87276,                 1.1701,                0.82569,                0.85652,                0.93128,                0.79648,                0.60641,                0.74905,                 0.8751,             0.00049506,             0.00049506,             0.00049506
                     59,                0.64338,                0.89437,                 1.1912,                0.84052,                0.79336,                0.91038,                 0.7865,                0.59307,                0.82485,                0.87575,             0.00048406,             0.00048406,             0.00048406
                     60,                0.64357,                0.88097,                 1.1944,                0.87449,                0.85407,                0.91696,                0.78752,                0.61325,                0.76613,                0.87503,             0.00047306,             0.00047306,             0.00047306
                     61,                0.61644,                0.84893,                 1.1763,                0.87653,                0.83127,                0.91651,                0.76605,                0.65716,                 0.8081,                0.91925,             0.00046206,             0.00046206,             0.00046206
                     62,                 0.6134,                0.84381,                 1.1711,                0.90774,                0.85549,                0.92925,                0.79803,                0.61175,                0.80376,                 0.8805,             0.00045107,             0.00045107,             0.00045107
                     63,                0.63526,                0.85433,                  1.189,                0.89452,                0.80852,                0.90034,                0.75395,                0.66823,                0.76019,                0.90987,             0.00044007,             0.00044007,             0.00044007
                     64,                0.61541,                0.84259,                 1.1744,                0.87471,                0.89569,                0.94304,                0.81829,                0.61361,                0.67391,                0.91009,             0.00042907,             0.00042907,             0.00042907
                     65,                0.61058,                0.81386,                 1.1801,                0.88151,                0.78528,                0.92099,                0.78882,                0.62546,                0.78722,                0.89705,             0.00041807,             0.00041807,             0.00041807
                     66,                0.62039,                0.82599,                 1.1749,                0.80909,                0.80558,                0.90437,                0.78012,                  0.601,                0.75138,                0.87652,             0.00040707,             0.00040707,             0.00040707
                     67,                0.59821,                0.79496,                 1.1599,                0.81374,                0.77626,                0.90219,                0.76425,                0.62995,                0.85107,                0.88437,             0.00039607,             0.00039607,             0.00039607
                     68,                0.60734,                0.83592,                 1.1678,                0.87261,                0.79492,                0.90479,                0.77638,                0.59545,                 0.8171,                0.88193,             0.00038507,             0.00038507,             0.00038507
                     69,                0.60835,                0.80699,                 1.1635,                0.85586,                0.84581,                0.91982,                0.78869,                0.59377,                 0.7468,                0.86062,             0.00037407,             0.00037407,             0.00037407
                     70,                   0.59,                0.79321,                  1.145,                0.86411,                0.86559,                0.92364,                0.80021,                0.59545,                0.69238,                 0.8689,             0.00036307,             0.00036307,             0.00036307
                     71,                0.59221,                0.77082,                 1.1548,                0.81547,                0.79653,                0.90443,                0.77496,                0.57919,                0.80348,                0.85282,             0.00035208,             0.00035208,             0.00035208
                     72,                0.59442,                0.76382,                 1.1558,                 0.8405,                0.85816,                0.92786,                0.80223,                0.58844,                0.72413,                0.86446,             0.00034108,             0.00034108,             0.00034108
                     73,                 0.5835,                0.75565,                 1.1488,                0.78652,                0.88697,                0.91187,                0.77356,                0.60693,                0.73779,                0.87524,             0.00033008,             0.00033008,             0.00033008
                     74,                0.60483,                0.79576,                 1.1639,                0.90234,                0.81232,                0.92831,                0.80413,                0.56466,                0.68036,                0.83213,             0.00031908,             0.00031908,             0.00031908
                     75,                0.57235,                0.78211,                 1.1587,                0.90705,                0.86266,                0.94172,                0.80354,                0.59888,                0.65324,                0.86958,             0.00030808,             0.00030808,             0.00030808
                     76,                0.57969,                0.75814,                 1.1514,                0.92493,                0.82513,                0.92698,                0.80527,                0.57604,                0.68368,                0.86566,             0.00029708,             0.00029708,             0.00029708
                     77,                0.58024,                0.75596,                 1.1455,                0.85646,                0.85568,                0.91892,                0.80444,                0.59418,                0.70428,                0.86363,             0.00028608,             0.00028608,             0.00028608
                     78,                0.56485,                0.73717,                 1.1388,                0.82847,                 0.8543,                0.92891,                0.80508,                 0.6035,                0.72578,                0.87421,             0.00027508,             0.00027508,             0.00027508
                     79,                0.55533,                0.73238,                 1.1341,                0.93096,                0.82573,                0.94275,                0.81939,                0.59004,                0.66608,                0.85566,             0.00026408,             0.00026408,             0.00026408
                     80,                0.56177,                0.74356,                 1.1353,                0.84011,                0.87748,                0.93278,                0.82075,                0.54532,                0.67499,                0.83618,             0.00025309,             0.00025309,             0.00025309
                     81,                0.54307,                0.71775,                 1.1298,                0.81288,                 0.8757,                0.91697,                0.80185,                 0.5359,                0.69277,                0.82487,             0.00024209,             0.00024209,             0.00024209
                     82,                0.55771,                  0.724,                 1.1415,                0.90109,                0.76494,                 0.9206,                0.81128,                0.55074,                0.70546,                0.83899,             0.00023109,             0.00023109,             0.00023109
                     83,                0.52912,                0.70171,                 1.1247,                0.90064,                0.83164,                0.93367,                0.84018,                0.52656,                0.64287,                0.81595,             0.00022009,             0.00022009,             0.00022009
                     84,                0.54172,                0.72293,                 1.1299,                0.89956,                0.80279,                0.92878,                0.82181,                0.55287,                0.67004,                0.84094,             0.00020909,             0.00020909,             0.00020909
                     85,                0.52339,                0.70805,                 1.1254,                0.89445,                0.78697,                  0.922,                0.80807,                0.55712,                0.68971,                0.83978,             0.00019809,             0.00019809,             0.00019809
